name,price,price_currency,place,posted_on,chars_list,views,description,response,ref
"
                          
                            Mazda Demio 1,5L 2020
                          
                        ",13900.0,EUR,"Larnaca, Larnaka - Skala",Posted: 09.08.2023 00:28,"{'Year:': '2020', 'Doors:': '4 doors - 5 doors', 'Drive:': 'Front (FWD)', 'Seats:': '5', 'Colour:': 'Silver', 'Extras:': 'Alloy wheels, Keyless start, Rear view camera, Start/stop', 'Gearbox:': 'Automatic', 'Mileage (in km):': '31000 km', 'MOT till:': 'Not applicable\n                            \n                          ', 'Body type:': 'Hatchback', 'Condition:': 'Used\n                            \n                          ', 'Fuel type:': 'Petrol', 'Engine size:': '1,5L'}",Views: 94,"['Mazda2 Demio New Model FaceLift', 'Year:2020', 'Engine: 1.5L Petrol-Pezina', 'Gearbox: Automatic ', 'Km:31,000', 'Extras : Led Lights, Joystick,Rear View Camera,Parking Sensors,Lane Assist,Front Camera for Emergency Stop, Alloy Wheels, Keyless Start, Bluetooth Compatible with I-Phone and Android and many more.', 'The car is at excellent condition and any mechanical check up is available at all times. For more info please call or chat ', '2 Keys Available', '***2 Years Warranty***']",<Response [200]>,https://www.bazaraki.com/adv/4819979_mazda-demio-1-5l-2020/
"
                          
                            Mazda Demio 1,3L 2015
                          
                        ",11300.0,EUR,"Larnaca, Aradippou - Apostolos Loukas",Posted: Yesterday 11:15,"{'Year:': '2015', 'Doors:': '4 doors - 5 doors', 'Drive:': 'Front (FWD)', 'Power:': '1 hp', 'Seats:': '5', 'Colour:': 'Grey', 'Extras:': 'Alloy wheels, Rear view camera', 'Gearbox:': 'Automatic', 'Mileage (in km):': '103470 km', 'MOT till:': '12/2024\n                            \n                          ', 'Body type:': 'Hatchback', 'Condition:': 'Used\n                            \n                          ', 'Fuel type:': 'Petrol', 'Engine size:': '1,3L'}",Views: 321,"['📣📣 NEW ENTRY 📣📣 ', '🇯🇵🇯🇵 JAPAN IMPORT 🇯🇵🇯🇵', None, '‼️ MAZDA DEMIO 🚘🚘 ‼️ ', '‼️ 2015.  Excellent Condition ✅', '‼️ 103470. KM Warranty ✅', '‼️ 1.3 Petrol Automatic ✅✅', '‼️ Skyactiv Technology 🔝🔝', '‼️ i- stop, Bluetooth, USB ✅', '‼️ Rear Camera ✅', '‼️ Lane Assistant ✅✅', '‼️ And Many More Extras ✅', '‼️ Full New Service,MOT, ROAD TAX ✅', '‼️ New Whelles And Tyres (€600) ‼️', '‼️ €11300.Dextes  Kai Praksis ‼️', '‼️ For More Information ☎️ ☎️', '☎️ ☎️ Larnaka- Aradippu‼️']",<Response [200]>,https://www.bazaraki.com/adv/4809103_mazda-demio-1-3l-2015/
"
                          
                            Mazda Demio 1,5L 2016
                          
                        ",10300.0,EUR,"Nicosia, Nicosia - Ag. Antonios",Posted: 09.08.2023 08:07,"{'Year:': '2016', 'Doors:': '4 doors - 5 doors', 'Drive:': 'Front (FWD)', 'Seats:': '5', 'Colour:': 'Grey', 'Extras:': 'Rear view camera, Start/stop', 'Gearbox:': 'Automatic', 'Mileage (in km):': '95000 km', 'MOT till:': '03/2025\n                            \n                          ', 'Body type:': 'Hatchback', 'Condition:': 'Used\n                            \n                          ', 'Fuel type:': 'Diesel', 'Engine size:': '1,5L'}",Views: 234,"['Ekseretiki katastasi Japan ', 'Start stop. Kamera pisini ', 'Kenouria lastixa. Prosfato service ', 'Sizitisimi timi Alex']",<Response [200]>,https://www.bazaraki.com/adv/4822565_mazda-demio-1-5l-2016/
"
                          
                            Mazda Demio 1,5L 2019
                          
                        ",12450.0,EUR,"Limassol, Limassol - Agia Fyla",Posted: 09.08.2023 22:47,"{'Year:': '2019', 'Doors:': '4 doors - 5 doors', 'Drive:': '4WD, AWD', 'Power:': '115 hp', 'Seats:': '5', 'Colour:': 'Blue', 'Extras:': 'Alloy wheels, Keyless start, Rear view camera, Start/stop', 'Gearbox:': 'Automatic', 'Mileage (in km):': '64734 km', 'MOT till:': '07/2025\n                            \n                          ', 'Body type:': 'Saloon', 'Condition:': 'Used\n                            \n                          ', 'Fuel type:': 'Petrol', 'Engine size:': '1,5L'}",Views: 120,"['Mazda Demio AWD 2019', 'Very economic', 'Tax road paid ', 'Mot paid', 'AWD', 'Excellent condition ', 'Camera 360', 'Climate control ', 'Keyless start/entry', 'Two keys ', 'Excellent condition', None, 'Any check welcome']",<Response [200]>,https://www.bazaraki.com/adv/4812653_mazda-demio-1-5l-2019/
"
                          
                            Mazda Demio 1,5L 2019
                          
                        ",12600.0,EUR,"Nicosia, Strovolos - Agios Vasileios",Posted: 05.08.2023 18:40,"{'Year:': '2019', 'Doors:': '4 doors - 5 doors', 'Drive:': 'Front (FWD)', 'Seats:': '5', 'Colour:': 'White', 'Extras:': 'Keyless start, Rear view camera, Start/stop', 'Gearbox:': 'Automatic', 'Mileage (in km):': '77300 km', 'MOT till:': '07/2025\n                            \n                          ', 'Body type:': 'Hatchback', 'Condition:': 'Used\n                            \n                          ', 'Fuel type:': 'Petrol', 'Engine size:': '1,5L'}",Views: 227,"['‼️MAZDA DEMIO S PREMIUM PACKAGE HATCHBACK ‼️', ' ΙΑΠΩΝΙΑΣ', '- XΡΟΝΟΛΟΓΙΑ: 2019', '- ΑΣΠΡΟ ΠΕΡΛΑ', '- 77,300km', '- ΒΕΝΖΙΝΗ', '- ΑΥΤΟΜΑΤΟ TIPTRONIC', '- 1500cc', '- ΕΞΕΡΕΤΙΚΗ ΚΑΤΑΣΤΑΗ', None, 'ΕΞΤΡΑ :', '- MENU NAVIGATION WHEEL ', '- MAZDA CONNECT ', '- BLIND SPOT MONITORING ', '- LANE KEEP ASSISTANCE ', '- DASH CAMERA', '- AIR CONDITION  ', '- ΗΛΕΚΤΡΙΚΑ ΠΑΡΑΘΥΡΑ ', '- ΗΛΕΚΤΡΙΚΑ ΑΝΑΔΙΠΛΟΥΜΕΝΑ ΚΑΘΡΕΦΤΑΚΙΑ', '- CENTRAL LOCKING', '- COMPUTER BOARD', '- 6 ΑΕΡΟΣΑΚΟΥΣ ', '-  i-STOP ', '- ENGINE START-STOP', '- ΚΑΜΕΡΑ ΠΙΣΩ ΟΨΗΣ ', '- PARKING SENSORS ΜΠΡΟΣΤΑ / ΠΙΣΩ', '- BLUETOOTH', '- ΥΠΟΔΟΧΗ AUX', '- TRACTION CONTROL', '- ΑΙΣΘΗΤΗΡΑΣ ΑΝΙΧΝΕΥΣΗ ΑΠΟΣΤΑΣΗΣ ΑΠΟ ΠΡΟΠΟΡΕΥΟΜΕΝΟ', '- SMART KEY & DRIVE MODE ', '- 2 ΚΛΕΙΔΙΑ']",<Response [200]>,https://www.bazaraki.com/adv/4817005_mazda-demio-1-5l-2019/
"
                          
                            Mazda Demio 1,5L 2019
                          
                        ",15300.0,EUR,"Larnaca, Larnaka - Sotiros",Posted: Yesterday 10:55,"{'Year:': '2019', 'Doors:': '4 doors - 5 doors', 'Drive:': 'Front (FWD)', 'Power:': '85 hp', 'Seats:': '5', 'Colour:': 'Red', 'Extras:': 'Alloy wheels, Keyless start, Rear view camera, Start/stop, Heated seats', 'Gearbox:': 'Automatic', 'Mileage (in km):': '28000 km', 'MOT till:': 'Not applicable\n                            \n                          ', 'Body type:': 'Hatchback', 'Condition:': 'Used\n                            \n                          ', 'Fuel type:': 'Petrol', 'Engine size:': '1,5L'}",Views: 407,"['⚡ JUST ARRIVED ⚡', '💥 MAZDA DEMIO - 15 TOURING 💥 ', '📍 7/2019', '🇯🇵  JAPAN CAR', '📍 Automatic', '📍 15cc - PETROL', '✅ Head-up Display', '✅ 360° Camera', '✅ Joystick', '✅ Heated Seats', '✅ Climate control', '✅ Assistant lane', '✅ Blindspot monitor', '✅ i-stop', '✅ Power Locks', '✅ Power Mirrors', '✅ Bluetooth', '✅ Usb', '✅ Xenon Lights', '✅ Alloy Wheels', '✅ Excellent Condition', '☎  ', '2 years warranty']",<Response [200]>,https://www.bazaraki.com/adv/4661184_mazda-demio-1-5l-2019/
"
                          
                            Mazda Demio 1,3L 1999
                          
                        ",2000.0,EUR,"Paphos, Paphos - Kato Paphos",Posted: 02.08.2023 21:00,"{'Year:': '1999', 'Seats:': '5', 'Colour:': 'Grey', 'Gearbox:': 'Automatic', 'Mileage (in km):': '200000 km', 'Body type:': 'Hatchback', 'Condition:': 'Used\n                            \n                          ', 'Fuel type:': 'Petrol', 'Engine size:': '1,3L'}",Views: 584,"['Mazda Demio 1999 in good condition', '200000 km', 'Automatic', 'Petrol']",<Response [200]>,https://www.bazaraki.com/adv/4767679_mazda-demio-1-3l-1999/
"
                          
                            Mazda Demio 1,5L 2019
                          
                        ",13950.0,EUR,"Limassol, Polemidia Kato",Posted: Yesterday 18:03,"{'Year:': '2019', 'Seats:': '5', 'Colour:': 'Blue', 'Gearbox:': 'Automatic', 'Mileage (in km):': '51757 km', 'Body type:': 'Hatchback', 'Condition:': 'Used\n                            \n                          ', 'Fuel type:': 'Petrol', 'Engine size:': '1,5L'}",Views: 10,"['ΝΕΑ ΠΑΡΑΛΑΒΗ : MAZDA DEMIO   2WD HATCHBACK JAPAN IMPORT', 'XΡΟΝΟΛΟΓΙΑ:2019', '- ΧΡΩΜΑ :ΝAVY BLUE', '- 51757 ΧΛΜ ', '- ΚΥΒΙΣΜΟΣ: 1496cc ', '- ΚΑΥΣΙΜΑ : ΒΕΝΖΙΝΗ', '- ΚΙΒΩΤΙΟ ΤΑΧΥΤΗΤΩΝ: ΑΥΤΟΜΑΤΟ', 'ΤΟ ΑΥΤΟΚΙΝΗΤΟ ΕΙΝΑΙ ΣΕ ΚΑΤΑΣΤΑΣΗ ΚΑΙΝΟΥΡΓΙΟΥ ,ΕΓΙΝΕ FULL SERVICE. ΕΙΝΑΙ ΜΕ ΕΡΓΟΣΤΑΣΙΑΚΑ ΕΞΤΡΑ :', '-A/C', '-POWER STEERING ', '-ΗΛΕΚΤΡΙΚΑ ΠΑΡΑΘΥΡΑ ', '-ΗΛΕΚΤΡΙΚΑ ΑΝΑΔΙΠΛΟΥΜΕΝΑ ΚΑΘΡΕΦΤΑΚΙΑ', '-6 ΑΕΡΟΣΑΚΟΥΣ ', '-CENTRAL LOCKING', '-COMPUTER BOARD', '- I-STOP', '-ENGINE START STOP', '-ΚΑΜΕΡΑ ΠΙΣΩ ΟΨΗΣ ', '-PARKING SENSORS   ΠΙΣΩ', '-BLUETOOTH', '-ΥΠΟΔΟΧΗ AUX', '-TRACTION CONTROL', '-ΑΙΣΘΗΤΗΡΑΣ ΑΛΛΑΓΗΣ ΛΩΡΙΔΑΣ', '-ΑΙΣΘΗΤΗΡΑΣ ΑΝΙΧΝΕΥΣΗΣ ΑΠΟΣΤΑΣΗΣ ΑΠΟ ΠΡΟΠΟΡΕΥΟΜΕΝΟ ', ' ΟΧΗΜΑ', '- AUTO LIGHTS', '-SMART KEY', '- BLIND SPOT INFORMATION SYSTEM', '-DRIVE MODE   ', ' ΠΑΡΕΧΕΤΑΙ ΓΡΑΠΤΗ  ΕΓΓΥΗΣΗ 18 ΜΗΝΕΣ .']",<Response [200]>,https://www.bazaraki.com/adv/4757631_mazda-demio-1-5l-2019/
"
                          
                            Mazda Demio 1,5L 2019
                          
                        ",12900.0,EUR,"Limassol, Limassol - Kapsalos",Posted: Yesterday 16:38,"{'Year:': '2019', 'Seats:': '5', 'Colour:': 'Silver', 'Gearbox:': 'Automatic', 'Mileage (in km):': '38400 km', 'Body type:': 'Hatchback', 'Condition:': 'Used\n                            \n                          ', 'Fuel type:': 'Petrol', 'Engine size:': '1,5L'}",Views: 270,"['MAZDA DEMIO 1.5L auto petrol   38,400km   01/2019', 't 25 333887    CarBazaar    12,900 euro']",<Response [200]>,https://www.bazaraki.com/adv/4656552_mazda-demio-1-5l-2019/
"
                          
                            Mazda Demio 1,5L 2019
                          
                        ",13300.0,EUR,"Limassol, Limassol - Agios Ioannis",Posted: Yesterday 15:29,"{'Year:': '2019', 'Doors:': '4 doors - 5 doors', 'Drive:': 'Front (FWD)', 'Seats:': '5', 'Colour:': 'Silver', 'Extras:': 'Keyless start, Rear view camera, Start/stop', 'Gearbox:': 'Automatic', 'Mileage (in km):': '39000 km', 'MOT till:': '12/2025\n                            \n                          ', 'Body type:': 'Saloon', 'Condition:': 'Used\n                            \n                          ', 'Fuel type:': 'Petrol', 'Engine size:': '1,5L'}",Views: 12,"['▪️MAZDA DEMIO', '▪️2019', '▪️1.5L', '▪️PETROL', '▪️REVERSE CAMERA', '▪️PARKING SENSORS', '▪️1 YEAR WARRANTY']",<Response [200]>,https://www.bazaraki.com/adv/4838806_mazda-demio-1-5l-2019/
